fetched_at,data_timestamp,datetime,datetime_ph,lat,lon,timezone,weather_id,weather_main,weather_description,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level_pressure,grnd_level_pressure,visibility,wind_speed,wind_direction,clouds_all,sunrise,sunset,rain_1h,snow_1h
2026-08-19T21:46:28.561024+07:00,1786986000,2026-08-17T17:00:00+00:00,2026-08-18T00:00:00+07:00,10.7708,106.6975,Asia/Ho_Chi_Minh,804,Clouds,overcast clouds,28.89,35.75,,,1011,86,,,10000,5.14,260,100,1787006616,1787051463,,
2026-08-19T21:46:28.561024+07:00,1786989600,2026-08-17T18:00:00+00:00,2026-08-18T01:00:00+07:00,10.7708,106.6975,Asia/Ho_Chi_Minh,804,Clouds,overcast clouds,28.33,34.22,,,1010,87,,,10000,5.66,250,100,1787006616,1787051463,,
2026-08-19T21:46:28.561024+07:00,1786993200,2026-08-17T19:00:00+00:00,2026-08-18T02:00:00+07:00,10.7708,106.6975,Asia/Ho_Chi_Minh,804,Clouds,overcast clouds,27.78,32.74,,,1010,88,,,10000,4.63,250,100,1787006616,1787051463,,
2026-08-19T21:46:28.561024+07:00,1786996800,2026-08-17T20:00:00+00:00,2026-08-18T03:00:00+07:00,10.7708,106.6975,Asia/Ho_Chi_Minh,500,Rain,light rain,27.78,33.06,,,1010,90,,,10000,3.6,250,100,1787006616,1787051463,0.15,
2026-08-19T21:46:28.561024+07:00,1787000400,2026-08-17T21:00:00+00:00,2026-08-18T04:00:00+07:00,10.7708,106.6975,Asia/Ho_Chi_Minh,804,Clouds,overcast clouds,27.78,33.06,,,1009,90,,,10000,3.09,250,100,1787006616,1787051463,,
2026-08-19T21:46:28.561024+07:00,1787004000,2026-08-17T22:00:00+00:00,2026-08-18T05:00:00+07:00,10.7708,106.6975,Asia/Ho_Chi_Minh,804,Clouds,overcast clouds,27.22,31.37,,,1010,90,,,10000,1.54,250,100,1787006616,1787051463,,
2026-08-19T21:46:28.561024+07:00,1787007600,2026-08-17T23:00:00+00:00,2026-08-18T06:00:00+07:00,10.7708,106.6975,Asia/Ho_Chi_Minh,804,Clouds,overcast clouds,27.22,31.49,,,1009,91,,,10000,3.6,240,100,1787006616,1787051463,,
2026-08-19T21:46:28.561024+07:00,1787011200,2026-08-18T00:00:00+00:00,2026-08-18T07:00:00+07:00,10.7708,106.6975,Asia/Ho_Chi_Minh,804,Clouds,overcast clouds,27.78,33.06,,,1009,90,,,10000,3.6,240,100,1787006616,1787051463,,
2026-08-19T21:46:28.561024+07:00,1787014800,2026-08-18T01:00:00+00:00,2026-08-18T08:00:00+07:00,10.7708,106.6975,Asia/Ho_Chi_Minh,804,Clouds,overcast clouds,28.89,35.89,,,1010,88,,,10000,4.63,220,100,1787006616,1787051463,,
2026-08-19T21:46:28.561024+07:00,1787018400,2026-08-18T02:00:00+00:00,2026-08-18T09:00:00+07:00,10.7708,106.6975,Asia/Ho_Chi_Minh,804,Clouds,overcast clouds,29.44,36.44,,,1010,85,,,10000,5.66,220,100,1787006616,1787051463,,
