fetched_at,data_timestamp,datetime,datetime_ph,lat,lon,timezone,weather_id,weather_main,weather_description,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level_pressure,grnd_level_pressure,visibility,wind_speed,wind_direction,clouds_all,sunrise,sunset,rain_1h,snow_1h
2026-09-09T08:36:58.901589+07:00,1788800400,2026-09-07T17:00:00+00:00,2026-09-08T00:00:00+07:00,10.8214,106.7582,Asia/Ho_Chi_Minh,804,Clouds,overcast clouds,28.38,34.18,,,1011,86,,,10000,5.14,210,98,1788820988,1788865134,,
2026-09-09T08:36:58.901589+07:00,1788804000,2026-09-07T18:00:00+00:00,2026-09-08T01:00:00+07:00,10.8214,106.7582,Asia/Ho_Chi_Minh,803,Clouds,broken clouds,27.83,32.73,,,1010,87,,,10000,5.14,220,64,1788820988,1788865134,,
2026-09-09T08:36:58.901589+07:00,1788807600,2026-09-07T19:00:00+00:00,2026-09-08T02:00:00+07:00,10.8214,106.7582,Asia/Ho_Chi_Minh,803,Clouds,broken clouds,27.83,32.89,,,1010,88,,,10000,3.6,230,76,1788820988,1788865134,,
2026-09-09T08:36:58.901589+07:00,1788811200,2026-09-07T20:00:00+00:00,2026-09-08T03:00:00+07:00,10.8214,106.7582,Asia/Ho_Chi_Minh,803,Clouds,broken clouds,27.83,32.89,,,1010,88,,,10000,3.6,250,64,1788820988,1788865134,,
2026-09-09T08:36:58.901589+07:00,1788814800,2026-09-07T21:00:00+00:00,2026-09-08T04:00:00+07:00,10.8214,106.7582,Asia/Ho_Chi_Minh,803,Clouds,broken clouds,27.83,33.05,,,1010,89,,,10000,3.09,250,74,1788820988,1788865134,,
2026-09-09T08:36:58.901589+07:00,1788818400,2026-09-07T22:00:00+00:00,2026-09-08T05:00:00+07:00,10.8214,106.7582,Asia/Ho_Chi_Minh,803,Clouds,broken clouds,27.83,32.89,,,1010,88,,,10000,4.12,230,70,1788820988,1788865134,,
2026-09-09T08:36:58.901589+07:00,1788822000,2026-09-07T23:00:00+00:00,2026-09-08T06:00:00+07:00,10.8214,106.7582,Asia/Ho_Chi_Minh,803,Clouds,broken clouds,27.83,32.89,,,1011,88,,,10000,3.09,230,69,1788820988,1788865134,,
2026-09-09T08:36:58.901589+07:00,1788825600,2026-09-08T00:00:00+00:00,2026-09-08T07:00:00+07:00,10.8214,106.7582,Asia/Ho_Chi_Minh,803,Clouds,broken clouds,28.38,34.57,,,1012,88,,,10000,4.12,230,76,1788820988,1788865134,,
2026-09-09T08:36:58.901589+07:00,1788829200,2026-09-08T01:00:00+00:00,2026-09-08T08:00:00+07:00,10.8214,106.7582,Asia/Ho_Chi_Minh,803,Clouds,broken clouds,28.94,35.45,,,1012,84,,,10000,4.12,230,81,1788820988,1788865134,,
2026-09-09T08:36:58.901589+07:00,1788832800,2026-09-08T02:00:00+00:00,2026-09-08T09:00:00+07:00,10.8214,106.7582,Asia/Ho_Chi_Minh,803,Clouds,broken clouds,31.16,38.16,,,1012,76,,,10000,6.69,230,70,1788820988,1788865134,,
